name	intensity-avg	volume
Left-Lateral-Ventricle	31.9531	3817.0
Left-Inf-Lat-Vent	44.9904	263.0
Left-Cerebellum-White-Matter	84.5568	13830.0
Left-Cerebellum-Cortex	58.7946	57456.5
Left-Thalamus-Proper	85.072	7743.1
Left-Caudate	74.6115	3586.2
Left-Putamen	81.6723	5214.7
Left-Pallidum	97.0367	1912.0
3rd-Ventricle	36.3178	842.3
4th-Ventricle	21.843000000000004	1727.3
Brain-Stem	81.6784	22710.5
Left-Hippocampus	62.2227	4331.5
Left-Amygdala	61.0475	1637.5
CSF	42.8944	1081.2
Left-Accumbens-area	67.2391	550.6
Left-VentralDC	87.5369	4290.4
Left-vessel	56.2889	61.2
Left-choroid-plexus	51.2542	277.9
Right-Lateral-Ventricle	28.9088	3931.2
Right-Inf-Lat-Vent	41.2614	212.8
Right-Cerebellum-White-Matter	84.3277	13574.2
Right-Cerebellum-Cortex	57.9044	57107.0
Right-Thalamus-Proper	85.0212	7679.6
Right-Caudate	75.4855	3882.3
Right-Putamen	79.9473	5434.3
Right-Pallidum	95.74799999999999	1949.2
Right-Hippocampus	61.6892	4601.8
Right-Amygdala	60.2388	1702.8
Right-Accumbens-area	70.0344	516.6
Right-VentralDC	87.4055	4223.5
Right-vessel	51.6087	40.3
Right-choroid-plexus	51.8423	395.8
5th-Ventricle	0.0	0.0
WM-hypointensities	71.2662	1637.5
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	63.3646	248.9
CC_Posterior	96.3145	758.2
CC_Mid_Posterior	89.6102	500.2
CC_Central	89.7693	625.7
CC_Mid_Anterior	90.8664	608.6
CC_Anterior	104.7914	830.3
