name	intensity-avg	volume
Left-Lateral-Ventricle	24.3682	6888.0
Left-Inf-Lat-Vent	41.9889	221.7
Left-Cerebellum-White-Matter	83.9427	11995.4
Left-Cerebellum-Cortex	57.096000000000004	50689.8
Left-Thalamus-Proper	82.9308	6725.5
Left-Caudate	71.4368	3699.3
Left-Putamen	81.408	5167.8
Left-Pallidum	98.5105	1862.6
3rd-Ventricle	36.1457	636.4
4th-Ventricle	24.613000000000003	1187.0
Brain-Stem	81.8667	16796.6
Left-Hippocampus	61.5343	3932.0
Left-Amygdala	58.3146	1309.1
CSF	40.5191	847.9
Left-Accumbens-area	67.8281	759.3
Left-VentralDC	88.6502	3662.4
Left-vessel	60.275	56.4
Left-choroid-plexus	46.7964	567.4
Right-Lateral-Ventricle	25.9685	5729.0
Right-Inf-Lat-Vent	45.6974	103.7
Right-Cerebellum-White-Matter	84.9859	11204.5
Right-Cerebellum-Cortex	56.035	48405.3
Right-Thalamus-Proper	83.4764	6472.9
Right-Caudate	71.0274	3772.9
Right-Putamen	80.5292	5139.3
Right-Pallidum	98.0941	1741.1
Right-Hippocampus	62.3686	4043.4
Right-Amygdala	59.4747	1583.9
Right-Accumbens-area	69.3625	791.4
Right-VentralDC	87.9171	3568.3
Right-vessel	61.5	16.9
Right-choroid-plexus	48.2883	580.5
5th-Ventricle	0.0	0.0
WM-hypointensities	66.2971	1432.8
Left-WM-hypointensities	0.0	0.0
Right-WM-hypointensities	0.0	0.0
non-WM-hypointensities	0.0	0.0
Left-non-WM-hypointensities	0.0	0.0
Right-non-WM-hypointensities	0.0	0.0
Optic-Chiasm	66.3398	128.0
CC_Posterior	96.3056	774.1
CC_Mid_Posterior	92.4274	577.4
CC_Central	89.8847	702.6
CC_Mid_Anterior	94.0178	601.5
CC_Anterior	103.6004	872.7
